"","pavg"
"1",0
"2",0.0115599466919091
"3",1.38618376189468
"4",17.2820264041638
"5",0
"6",0
"7",7.46533154472026
"8",0.135180148340973
"9",0
"10",0
"11",6.4762496613753
"12",0
"13",6.57108170352357
"14",7.13394163822738
"15",19.5389326938646
"16",0.190653296569849
"17",0
"18",0.147612442861947
"19",4.58039495316859
"20",0
"21",0.22429643906935
"22",0
"23",0.00587727929453966
"24",2.51861803367253
"25",0
"26",0
"27",0
"28",0
"29",0
"30",5.83156369491705
"31",4.33403867171931
